291 499
-0.000186 0.000475 -0.00294
-0.000186 0.000503 -0.003128
-0.000221 0.00071 -0.003103
-0.000206 0.000676 -0.002874
0.000126 0.000648 -0.003013
0.001844 0.000555 0.00423
0.001289 0.000466 0.004261
0.001299 0.000401 0.004296
0.001854 0.00049 0.004265
-0.002796 0.000247 1.9e-005
-0.002768 6.4e-005 2.2e-005
0.001135 0.000358 -0.004249
0.001148 0.000268 -0.004289
0.001773 0.000456 -0.004253
0.001787 0.000365 -0.004294
0.000221 0.000494 -0.001877
0.00024 0.000367 -0.001863
-0.000299 0.000617 -0.000391
-0.000271 0.000434 -0.000385
-0.000296 0.000632 0.000395
-0.000268 0.000449 0.000396
0.000178 0.000565 0.001776
0.000202 0.000408 0.00178
0 1 2
3 0 2
4 5 6
7 4 6
0 3 5
5 4 0
6 3 2
3 6 5
2 1 7
7 6 2
1 0 4
4 7 1
8 9 10
12 11 22
24 14 8
17 18 16
22 23 9
24 10 16
25 14 13
22 11 20
25 17 21
17 16 19
18 15 16
15 18 13
22 9 12
9 8 12
23 22 20
10 19 16
17 25 18
24 13 14
13 24 15
14 12 8
19 20 21
20 19 23
19 21 17
10 23 19
10 9 23
8 10 24
15 24 16
25 13 18
25 12 14
11 12 25
11 25 21
11 21 20
27 26 31
28 29 30
31 28 30
26 27 29
29 28 26
30 27 31
27 30 29
31 26 28
32 33 37
34 35 36
35 37 36
33 32 34
35 34 32
33 36 37
36 33 34
32 37 35
38 43 42
39 38 42
40 41 42
43 40 42
38 39 41
41 40 38
39 42 41
43 38 40
44 49 48
45 44 48
46 47 48
49 46 48
44 45 47
47 46 44
45 48 47
49 44 46
50 55 54
51 50 54
52 53 54
55 52 54
50 51 53
53 52 50
51 54 53
55 50 52
56 61 60
57 56 60
58 59 60
61 58 60
56 57 59
59 58 56
57 60 59
61 56 58
62 64 63
63 64 62
67 65 66
67 66 65
68 70 69
69 70 68
73 71 72
73 72 71
74 76 75
75 76 74
77 79 78
78 79 77
93 193 80
80 193 95
98 83 82
83 97 81
84 99 98
84 98 82
86 84 82
84 85 99
86 85 84
86 88 85
87 88 86
88 87 90
89 90 87
102 89 103
90 89 102
103 89 197
92 103 197
106 92 93
91 92 106
80 94 93
108 94 80
108 80 95
